cycle,range_bin,doppler_bin,output_hex
1222125000,23,0,013d0102
1222135000,23,1,ff98fffe
1222145000,23,2,ffcdfe07
1222155000,23,3,ff560262
1222165000,23,4,00c2feca
1222175000,23,5,ff89000a
1222185000,23,6,007700a5
1222195000,23,7,0008fff9
1222205000,23,8,0032004c
1222215000,23,9,ff4dff84
1222225000,23,10,00b6004f
1222235000,23,11,fdfb0030
1222245000,23,12,0394006b
1222255000,23,13,fd6efe4e
1222265000,23,14,018c0191
1222275000,23,15,ff47ff7b
1222285000,23,16,0095ff78
1222295000,23,17,ff04ff78
1222305000,23,18,01fd00f9
1222315000,23,19,fe84ffda
1222325000,23,20,ff2600c0
1222335000,23,21,0207fed0
1222345000,23,22,fe5d001d
1222355000,23,23,0060ff5f
1222365000,23,24,ffbc00f6
1222375000,23,25,001bfec6
1222385000,23,26,007001c9
1222395000,23,27,fe8bfe0c
1222405000,23,28,020401df
1222415000,23,29,ff46ffb0
1222425000,23,30,ffc00055
1222435000,23,31,ff59fecd
1227505000,24,0,fec8ff41
1227515000,24,1,022701b2
1227525000,24,2,fcf8fe7f
1227535000,24,3,028300c7
1227545000,24,4,ff580067
1227555000,24,5,ff22febb
1227565000,24,6,00240042
1227575000,24,7,01b000a5
1227585000,24,8,ff40fe3c
1227595000,24,9,fed80187
1227605000,24,10,01cafec7
1227615000,24,11,fe7501fb
1227625000,24,12,0003fe8c
1227635000,24,13,ffbd00af
1227645000,24,14,0045feb6
1227655000,24,15,00fd0266
1227665000,24,16,ff28fbfb
1227675000,24,17,fe5f0476
1227685000,24,18,01b0fdab
1227695000,24,19,00d10051
1227705000,24,20,fee0003f
1227715000,24,21,ff9e00f1
1227725000,24,22,01c80000
1227735000,24,23,fe24fedf
1227745000,24,24,00700050
1227755000,24,25,016a0035
1227765000,24,26,fe26ffaf
1227775000,24,27,00c70009
1227785000,24,28,003dffbe
1227795000,24,29,00a300f1
1227805000,24,30,fe9fff90
1227815000,24,31,0137ffea
1232885000,25,0,ffb502ab
1232895000,25,1,003bfe37
1232905000,25,2,002801e7
1232915000,25,3,001bfd85
1232925000,25,4,ff84018e
1232935000,25,5,01db0017
1232945000,25,6,fd87ffad
1232955000,25,7,01bc00d0
1232965000,25,8,fe47feac
1232975000,25,9,0128002b
1232985000,25,10,ffb40086
1232995000,25,11,009fff9f
1233005000,25,12,fe480006
1233015000,25,13,02190065
1233025000,25,14,feceff14
1233035000,25,15,00da008c
1233045000,25,16,00f1009d
1233055000,25,17,fcfbfef7
1233065000,25,18,01ac0033
1233075000,25,19,ffbb001b
1233085000,25,20,0074fff4
1233095000,25,21,fdfdff85
1233105000,25,22,01cf00b1
1233115000,25,23,ffceff74
1233125000,25,24,feff00e8
1233135000,25,25,0122fe6b
1233145000,25,26,ff7402f0
1233155000,25,27,ffaffe55
1233165000,25,28,002c0054
1233175000,25,29,002fffeb
1233185000,25,30,016801e6
1233195000,25,31,fef8fc4c
1238265000,26,0,ff92febf
1238275000,26,1,0087019f
1238285000,26,2,0035ff1f
1238295000,26,3,ffa20049
1238305000,26,4,001bfebc
1238315000,26,5,007a01c7
1238325000,26,6,ff86ff7d
1238335000,26,7,00b8fe66
1238345000,26,8,fee301ee
1238355000,26,9,0012001b
1238365000,26,10,000fff42
1238375000,26,11,0136ffe3
1238385000,26,12,fe1500ac
1238395000,26,13,00ea0015
1238405000,26,14,005ffded
1238415000,26,15,0037023e
1238425000,26,16,007cfe79
1238435000,26,17,ff1f00c7
1238445000,26,18,ff25febd
1238455000,26,19,01620223
1238465000,26,20,fef9fd36
1238475000,26,21,fffa0351
1238485000,26,22,ffeafe13
1238495000,26,23,ffe80060
1238505000,26,24,fff7ff36
1238515000,26,25,001c0083
1238525000,26,26,002f0062
1238535000,26,27,fffa015d
1238545000,26,28,0087fdde
1238555000,26,29,fe8e0157
1238565000,26,30,0251010b
1238575000,26,31,fee5fee8
1243645000,27,0,0062ffe5
1243655000,27,1,ff930170
1243665000,27,2,0001ff46
1243675000,27,3,00270176
1243685000,27,4,fffefe3a
1243695000,27,5,ff9e01aa
1243705000,27,6,005cff6e
1243715000,27,7,01c9ffa0
1243725000,27,8,fdd9ffaa
1243735000,27,9,014e00f1
1243745000,27,10,0042fe95
1243755000,27,11,ff5b00ee
1243765000,27,12,00b8ff1c
1243775000,27,13,ff1e01d9
1243785000,27,14,0041fd61
1243795000,27,15,ff1b0219
1243805000,27,16,0284fe9f
1243815000,27,17,fccf00fe
1243825000,27,18,0107fe98
1243835000,27,19,004b01be
1243845000,27,20,0040fe58
1243855000,27,21,004a0210
1243865000,27,22,002efdfa
1243875000,27,23,ff3501e4
1243885000,27,24,0129fee6
1243895000,27,25,fe64fe45
1243905000,27,26,00de0295
1243915000,27,27,ffaffff2
1243925000,27,28,0072fdbe
1243935000,27,29,fde600d1
1243945000,27,30,02bd010f
1243955000,27,31,fe6bfee7
1249025000,28,0,00a3014c
1249035000,28,1,fee7ffde
1249045000,28,2,0115fef6
1249055000,28,3,fec40171
1249065000,28,4,018afe74
1249075000,28,5,fea600f7
1249085000,28,6,0055ff29
1249095000,28,7,01040137
1249105000,28,8,feadffab
1249115000,28,9,00150030
1249125000,28,10,007dfef5
1249135000,28,11,001f0195
1249145000,28,12,ff6afed0
